"text,label"																					
"""Tiebreaker is H2H this world cup (points scored among teams with the same number of points), which means USA, Mexico and Turkey have nothing to play for last game sadly"",analysis"																					
"""It's because FIFA have changed the rules for tiebreakers. Head-to-head results are now considered before goal difference.Just another thing FIFA have screwed up, in my opinion."",analysis"																					
"""So I watched the replay and I don’t understand why Australia didn’t get a penalty when irankunda went up for the header, then the defender pushed him and the ball just falls straight onto the Americans arms. It’s not a natural position since he’s pushing t"	he opponent	and the	ball	had	be	en	skied	so	not a	d	efl	ectio	n.	I	t	hi	nk	the	on	ly	"reason it wasn’t given was because no one appealed"",analysis"
"The new rule change of not playing the ball out when a player goes down injured is such a refreshing change. It has made so many players look like idiots and the game flows so much more.,analysis"																					
"""It's not a blanket ban on covering your mouth, it's just to stop lads chirping at each other with their mouths covered, they can still talk between teammates"",analysis"																					
"""I will never understand why so many people say that """"Belgium 2018 underperformed"""" or """"Roberto Martinez wasted Belgium's golden generation"""". Losing 1-0 to that stacked France team is hardly a failure for a country like Belgium that isn't exactly a power"	house. I do	n't rate	Mart	inez	as	a	coach	bu	t gett	in	g t	o the	s	em	i-	fi	na	l wa	s t	he	best Belgium could have hoped for.
""",analysis"																					
"""France got a bit unlucky with their midfielders..Pogba was supposed to be one of the best midfielders of his generation, Tolisso was doing amazing at Bayern until the injuries started (and he's still good, but not as good as he could've been)."																					
""",analysis"																					
"""Fun fact - the last 48 team tournament FIFA had was the U-17 World Cup in 2025, and it featured a different knockout bracket format."																					
																					
"In that iteration, they ranked all 32 teams who qualified (12 group winners, 12 runner ups, and 8 third placers) in order of points and GD. From there, it was a seeded knockout tournament that was formated so 1st place in that big table would play 32nd. 2nd"	played 31s	"t, 3rd p"	lays	30th	", e"	tc	all t	he	way do	wn	to	15th	p	la	yi	ng	1	6th.	""",a"	na	lysis
"With the lack of creativity Uruguay has in the final third I wouldn't be surprised to see cape Verde getting a draw,analysis"																					
"""I just got a chance to watch the highlights of Ecuador-Curaçao."																					
																					
"I feel like both teams can hold their heads up high. Ecuador (unlike Turkey the previous day) kept their discipline. They created enough chances to win, but were let done by a past-it striker and the performance of a lifetime from Curaçao’s keeper. Curaçao,"	"meanwhile,"	defende	d sto	utly	an	d	create	d a	handf	ul	of	legi	ti	ma	te	c	ha	nces	of	t	"heir own. It’s a shame we’re unlikely to see much more of either team."",analysis"
"""Neuer 2014 just for that Algeria game, although he was quality against France too. Buffon 2006 and Casillas 2010 were just as quality conceding only 2 all tournament but Spain and Italy were pragmatic and not as explosive as Germany which probably helped a"	little?																				
""",analysis"																					
"""Usually they're healthy enough to be able to play but the more wear and tear the more pain or in extreme cases, a risk of aggravation of the injury. The 60 minutes is little more than an estimate of how much punishment he can take"",analysis"																					
"Good midfield selection by DLF. Im was concerned he might pick ruiz again but yeah olmo is a better choice. Baena though? Idk let’s see how it goes. Everything else seems good,analysis"																					
"The only one in the FIFA Rankings top 10 they are maybe better than is Belgium and they are 10th. But that would be a full strength Japan I think. With Mitoma Endo etc.,analysis"																					
"""That Ueda header for Japan’s fourth is an exceptional finish. Can’t tell you how hard that is. So precise and so controlled. That was his second goal of the night too, with a brilliant assist also. Well played lad."",analysis"																					
I absolutely despise how the extra ad breaks reset the flow of the game. Both times in the germany match yesterday it was so extreme. Weather was nice. No one needed hydration breaks. They simply decided to make football a game of four quarters just to gene	rate more a	d revenu	e and	I h	ate	e	veryth	ing	about	i	"t,a"	nalys	is								
"Idk how they’ll do against a competent defence. I thought they struggled to create much against Japan until a Van Dijk set piece opened the game up,analysis"																					
"""Aside from the red I thought Nathan Ngoy had a great game against aus tbh, first time watching him and he looked absolutely immaculate on-the-ball (bar the obvious mistake)."",analysis"																					
"The worst World Cup team in the 21st century is 2002 Saudi Arabia who lost all 3 games while scoring 0 and conceding 12. Tunisia after their game against Netherlands might be in that territory. I could see them giving up 6 to the Dutch.,analysis"																					
"""Salah mentioned that they needed it for the first game, as it really was really hot in an open air stadium during the middle of the day. Having a water break inside the air cooled stadium in Houston however, maybe that's not really needed."",analysis"																					
"""So assuming The Netherlands tally a big score against Tunisia, going for a draw is probably safer for both the other teams than risking it for the win. The GD gap will probably be a bit big for Japan to catch up and a draw guarantees them second place anyw"	"ays."",analy"	sis																			
"""This format appears to be shaping up to a relatively uneventful final match day with lots of groups having a team locked into first or last already. I’ve enjoyed the expanded tournament a lot, but the 3rd place qualifiers + the H2H tiebreaker take a lot of"	sting out	of the g	roup	stag	e.	As	much	I n	ormall	y	hat	e how	t	he	y	ke	ep	exp	and	in	"g everything, I think they’d be better off expanding to 64 teams for the sake of the tournament format. There’s enough decent teams who didn’t quality to fill out a good field at that size, and the Curaçao’s and Cape Verde’s of the world have proven that they can keep things competitive from time to time."",analysis"
"i dont get media’s obsession with Sané when Wirtz and Musiala have not been much better. i’d rather bench one of them for Undav than bench Sané and move one of them to the right,analysis"																					
"""Yamal starts and Pedri plays as a central midfielder and Spain looks good again, who would have known"",analysis"																					
"""He would have made the difference vs Cabo Verde, i'm certain of it. He's the only player with that level of directness in the Spain squad. Hopefully his absence doesnt come back to haunt them in the knockouts"",analysis"																					
"""Yes, we are playing with wing players, it's a Big difference from last game. Maybe they learned something..."",analysis"																					
"Didn’t even glance at him. Had no idea where he was and the other guy tries to cover but its too late.,analysis"																					
"Oyarzabal needs to be in space like that making runs. He’s a lively player not someone that can live in the box.,analysis"																					
"To be fair having Gavi and Ferran Torres as your wings is terrible for any offensive team.But Yamal the best winger in the world. So makes sense he changes up things.,analysis"																					
"""Saudi left back went to sleep, the rest of the back line was together, that player was ball watching...."",analysis"																					
"""Last game Oyarzabal played bad. What a pass, 90% of the goal belongs to him."",analysis"																					
"Really need these guys to stop sliding on their knees on the temporary grass pitches... they don't retain the moisture the way the outdoor ones do and someone is gonna get hurt.,analysis"																					
